Survived,PassengerId,DTree,Logit,SVM,AdaBoost,Random Forest,Naive Bayes,Neural Network,kNN,DTree (0),DTree (1),Logit (0),Logit (1),SVM (0),SVM (1),AdaBoost (0),AdaBoost (1),Random Forest (0),Random Forest (1),Naive Bayes (0),Naive Bayes (1),Neural Network (0),Neural Network (1),kNN (0),kNN (1)
0.0,892.0,0,0,0,0,0,0,0,0,0.9649122807017544,0.03508771929824561,0.9400463120760033,0.05995368792399671,0.7558693380647453,0.24413066193525448,0.9999999999999998,2.2204460492503974e-16,0.8387297232721719,0.1612702767278281,0.9102038043882227,0.08979619561177735,0.9004992252237253,0.09950077477627473,1.0,0.0
0.0,893.0,0,0,1,0,0,1,1,0,0.8571428571428571,0.14285714285714285,0.6258164152315822,0.3741835847684179,0.31739718380243515,0.682602816197565,0.9999999999999998,2.2204460492503974e-16,0.7193569857561792,0.2806430142438207,0.4544768303007954,0.5455231696992047,0.07896497791587409,0.9210350220841259,0.8571428571428571,0.14285714285714285
0.0,894.0,0,0,0,1,0,0,0,0,0.8571428571428571,0.14285714285714285,0.9307124685330878,0.06928753146691227,0.7922961018102003,0.20770389818979978,2.2204460492503974e-16,0.9999999999999998,0.7341914053078468,0.2658085946921532,0.6738202673211369,0.326179732678863,0.9414057101486906,0.058594289851309406,0.7142857142857143,0.2857142857142857
0.0,895.0,0,0,0,1,0,0,0,0,0.8732394366197183,0.1267605633802817,0.9246443391815632,0.07535566081843685,0.7627854473675771,0.2372145526324229,2.2204460492503974e-16,0.9999999999999998,0.7745823710924449,0.2254176289075546,0.8617643010784357,0.1382356989215643,0.8756778310458108,0.1243221689541892,0.5714285714285714,0.42857142857142855
0.0,896.0,1,1,1,1,0,1,1,0,0.4492753623188406,0.5507246376811594,0.4754637750878845,0.5245362249121155,0.41935981519777077,0.5806401848022292,2.2204460492503974e-16,0.9999999999999998,0.5323880904768968,0.4676119095231032,0.1546662446118271,0.845333755388173,0.12299405119683449,0.8770059488031655,0.7142857142857143,0.2857142857142857
0.0,897.0,0,0,0,0,0,0,0,0,0.8732394366197183,0.1267605633802817,0.8896282315304431,0.11037176846955692,0.7652959468928651,0.2347040531071349,0.9999999999999998,2.2204460492503974e-16,0.730069841861712,0.26993015813828797,0.8383403292797156,0.1616596707202844,0.7613563001825135,0.23864369981748643,0.8571428571428571,0.14285714285714285
1.0,898.0,1,1,1,0,1,0,1,1,0.2682926829268293,0.7317073170731707,0.49133424421156224,0.5086657557884378,0.30591128275976515,0.6940887172402347,0.9999999999999998,2.2204460492503974e-16,0.4902956039246829,0.5097043960753171,0.5210867572466901,0.47891324275331,0.08435583836998528,0.9156441616300147,0.2857142857142857,0.7142857142857143
0.0,899.0,0,0,0,0,0,1,0,0,0.6604938271604939,0.3395061728395062,0.8259408840839494,0.17405911591605058,0.787040671492319,0.2129593285076812,0.9999999999999998,2.2204460492503974e-16,0.8944238663942836,0.10557613360571642,0.33510304217662373,0.6648969578233762,0.835070604949057,0.16492939505094295,0.5714285714285714,0.42857142857142855
1.0,900.0,1,1,1,1,1,1,1,1,0.2682926829268293,0.7317073170731707,0.3970751949492176,0.6029248050507824,0.31400741455920084,0.6859925854407992,2.2204460492503974e-16,0.9999999999999998,0.2791463746694889,0.7208536253305112,0.4283372421858992,0.5716627578141009,0.07555522739570797,0.924444772604292,0.2857142857142857,0.7142857142857143
0.0,901.0,0,0,0,0,0,0,0,0,0.8732394366197183,0.1267605633802817,0.9030710535554854,0.09692894644451458,0.7741944784576167,0.22580552154238334,0.9999999999999998,2.2204460492503974e-16,0.8736328695980582,0.12636713040194178,0.7316165393461621,0.26838346065383795,0.8572019399000435,0.1427980600999565,0.5714285714285714,0.42857142857142855
0.0,902.0,0,0,0,0,0,0,0,0,0.9534883720930233,0.046511627906976744,0.9311030972966212,0.06889690270337877,0.7598866899605282,0.2401133100394717,0.9999999999999998,2.2204460492503974e-16,0.8869630344760014,0.11303696552399863,0.9297673675604143,0.07023263243958572,0.8906524948517986,0.10934750514820135,1.0,0.0
0.0,903.0,0,0,0,0,0,1,0,0,0.926829268292683,0.07317073170731707,0.7250422553731923,0.2749577446268076,0.7956651675433439,0.20433483245665593,0.9999999999999998,2.2204460492503974e-16,0.8836609791794754,0.11633902082052477,0.3656930531411312,0.6343069468588688,0.8941117971010261,0.1058882028989739,0.7142857142857143,0.2857142857142857
1.0,904.0,1,1,1,1,1,1,1,1,0.0,1.0,0.0622080998143173,0.9377919001856827,0.24029352762856546,0.7597064723714345,2.2204460492503974e-16,0.9999999999999998,0.00017241379310344826,0.9998275862068965,0.03004072635465653,0.9699592736453435,0.0022926643650060807,0.9977073356349939,0.2857142857142857,0.7142857142857143
0.0,905.0,0,0,0,1,0,0,0,0,0.8571428571428571,0.14285714285714285,0.9270729132205714,0.0729270867794286,0.79305586489263,0.20694413510737003,2.2204460492503974e-16,0.9999999999999998,0.8753884821431224,0.12461151785687764,0.5205942879884208,0.4794057120115793,0.8907881406985017,0.1092118593014984,0.8571428571428571,0.14285714285714285
